job_id,job_name,label,pair_type,interaction_class,binding_mode,llps,in_pdb,neg_type,evidence_strength,total_residues,n_seeds,has_full_data,iptm,iptm_sd,chain_pair_iptm,chain_pair_iptm_sd,ranking_score,ranking_score_sd,ptm,ptm_sd,fraction_disordered,fraction_disordered_sd,chain_pair_pae_min,chain_pair_pae_min_sd,pae_inter_mean,pae_inter_mean_sd,pae_inter_p05,pae_inter_p05_sd,pae_inter_frac_lt10,pae_inter_frac_lt10_sd,pae_inter_frac_lt5,pae_inter_frac_lt5_sd,contact_prob_sum,contact_prob_sum_sd,contact_prob_density,contact_prob_density_sd,contact_prob_max,contact_prob_max_sd,n_contacts_p50,n_contacts_p50_sd,contact_participation_ratio,contact_participation_ratio_sd,plddt_mean,plddt_mean_sd,ipsae,ipsae_sd,lis,lis_sd
P01,P01_PTMA_full__H10_full,positive,heterotypic,hetero_fuzzy,fuzzy,no,,,demonstrated,305,5,1,0.08,0.004,0.08,0.004,0.5,0.004,0.29,0.004,0.76,0.0049,13.13,0.74139,30.75367,0.07386,25.9,0.57889,0.0,0.0,0.0,0.0,3.29,0.0,0.00015,0.0,0.05,0.0,0,0.0,249.97921,0.0,51.4867,0.13919,0.0,0.0,0.0,0.0
P02,P02_SRSF1_RS__U170K_RS,positive,heterotypic,hetero_fuzzy,fuzzy,yes,,,demonstrated,259,5,1,0.08,0.0147,0.08,0.0147,0.63,0.02828,0.33,0.01095,1.0,0.05154,17.47,2.73135,30.00075,0.33943,23.8,1.88616,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0,0.0,1.0,0.0,73.55779,0.26079,0.0,0.0,0.0,0.0
P03,P03_G3BP1_IDR1__G3BP1_RGG,positive,heterotypic,hetero_fuzzy,fuzzy,yes,,,demonstrated,205,5,1,0.06,0.00748,0.06,0.00748,0.44,0.00894,0.36,0.004,0.64,0.01744,22.02,1.91112,30.07227,0.44886,24.6,1.80044,0.0,0.0,0.0,0.0,13.0,0.0,0.00131,0.0,0.06,0.0,0,0.0,706.52174,0.0,62.61711,0.33052,0.0,0.0,0.0,0.0
P04,P04_FMR1_CT__CAPRIN1_CT,positive,heterotypic,hetero_fuzzy,fuzzy,yes,,,demonstrated,291,5,1,0.04,0.00632,0.04,0.00632,0.18,0.03124,0.09,0.00632,0.25,0.06013,29.54,0.96969,31.3643,0.33136,30.9,0.74458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50.14427,0.74831,0.0,0.0,0.0,0.0
P05,P05_SNCA_full__TAU_2N4R,positive,heterotypic,hetero_fuzzy,fuzzy,yes,,,demonstrated,581,5,1,0.07,0.0049,0.07,0.0049,0.5,0.14386,0.12,0.00894,0.85,0.29931,31.41,1.39417,31.67433,0.11932,31.6,0.37736,0.0,0.0,0.0,0.0,2.35,0.0,4e-05,0.0,0.03,0.0,0,0.0,184.699,0.0,53.43144,2.59042,0.0,0.0,0.0,0.0
P06,P06_NCOA3_ACTR__CBP_NCBD,positive,heterotypic,hetero_fold,mutual_folding,no,1KBH,,demonstrated,106,5,1,0.7,0.02135,0.7,0.02135,0.89,0.02638,0.72,0.02098,0.37,0.03262,1.4,0.05329,6.30031,0.52224,2.1,0.12649,0.83736,0.02875,0.56419,0.03552,65.68,0.0,0.02369,0.0,0.96,0.0,48,0.0,137.36315,0.0,76.89965,1.30223,0.48568,0.0245,0.6092,0.01539
P07,P07_FOS_bZIP__JUN_bZIP,positive,heterotypic,hetero_fold,mutual_folding,no,1FOS,,demonstrated,129,5,1,0.74,0.0049,0.74,0.0049,1.03,0.02786,0.71,0.0,0.6,0.05477,0.85,0.01939,8.51781,0.04892,1.3,0.04,0.64889,0.00239,0.43922,0.00181,66.46,0.0,0.016,0.0,0.99,0.0,55,0.0,86.70511,0.0,86.58058,0.06328,0.57494,0.00454,0.62012,0.00469
P08,P08_FUS_LC__FUS_LC,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,326,5,1,0.15,0.00748,0.15,0.00748,0.66,0.0102,0.16,0.00748,1.0,0.0,2.79,0.18104,27.47977,0.42059,14.7,0.61514,0.0226,0.00248,0.00092,0.00031,320.99,0.0,0.01208,0.0,0.78,0.0,46,0.0,1483.19272,0.0,49.51027,1.63303,0.03005,0.00211,0.26358,0.01404
P09,P09_HNRNPA1_LC__HNRNPA1_LC,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,270,5,1,0.21,0.02577,0.21,0.02577,0.71,0.02577,0.21,0.02482,1.0,0.0,2.44,0.49272,26.13602,0.5233,10.5,0.78128,0.04436,0.00669,0.00529,0.00166,391.64,0.0,0.02149,0.0,0.69,0.0,81,0.0,1613.98556,0.0,50.81319,1.506,0.04386,0.00637,0.27727,0.02424
P10,P10_HNRNPA2_LC__HNRNPA2_LC,positive,homotypic,homo_fuzzy,fuzzy,yes,,,demonstrated,320,5,1,0.15,0.01939,0.15,0.01939,0.65,0.02059,0.15,0.01673,1.0,0.0,2.15,1.26979,28.18069,0.31942,13.1,0.75789,0.02562,0.00427,0.00377,0.00146,384.79,0.0,0.01503,0.0,0.7,0.0,61,0.0,1511.01234,0.0,47.05682,1.18936,0.05553,0.01302,0.27211,0.04382
